"Year","replacecolumns","from","to"
1996,"label_cause","179","ncd_lri"
1997,"label_cause","179","ncd_lri"
1998,"label_cause","179","ncd_lri"
1990,"label_cause","180","ncd_lri"
1991,"label_cause","180","ncd_lri"
1992,"label_cause","180","ncd_lri"
1993,"label_cause","180","ncd_lri"
1994,"label_cause","180","ncd_lri"
1995,"label_cause","180","ncd_lri"
1996,"label_cause","180","ncd_lri"
1997,"label_cause","180","ncd_lri"
1998,"label_cause","180","ncd_lri"
1990,"label_cause","181","ncd_lri"
1991,"label_cause","181","ncd_lri"
1992,"label_cause","181","ncd_lri"
1993,"label_cause","181","ncd_lri"
1994,"label_cause","181","ncd_lri"
1995,"label_cause","181","ncd_lri"
1996,"label_cause","181","ncd_lri"
1997,"label_cause","181","ncd_lri"
1998,"label_cause","181","ncd_lri"
1990,"label_cause","182","ncd_lri"
1991,"label_cause","182","ncd_lri"
1992,"label_cause","182","ncd_lri"
1993,"label_cause","182","ncd_lri"
1994,"label_cause","182","ncd_lri"
1995,"label_cause","182","ncd_lri"
1996,"label_cause","182","ncd_lri"
1997,"label_cause","182","ncd_lri"
1998,"label_cause","182","ncd_lri"
1990,"label_cause","183","ncd_lri"
1991,"label_cause","183","ncd_lri"
1992,"label_cause","183","ncd_lri"
1993,"label_cause","183","ncd_lri"
1994,"label_cause","183","ncd_lri"
1995,"label_cause","183","ncd_lri"
1996,"label_cause","183","ncd_lri"
1997,"label_cause","183","ncd_lri"
1998,"label_cause","183","ncd_lri"
1990,"label_cause","184","ncd_lri"
1991,"label_cause","184","ncd_lri"
1992,"label_cause","184","ncd_lri"
1993,"label_cause","184","ncd_lri"
1994,"label_cause","184","ncd_lri"
1995,"label_cause","184","ncd_lri"
1996,"label_cause","184","ncd_lri"
1997,"label_cause","184","ncd_lri"
1998,"label_cause","184","ncd_lri"
1990,"label_cause","185","ncd_lri"
1991,"label_cause","185","ncd_lri"
1992,"label_cause","185","ncd_lri"
1993,"label_cause","185","ncd_lri"
1994,"label_cause","185","ncd_lri"
1995,"label_cause","185","ncd_lri"
1996,"label_cause","185","ncd_lri"
1997,"label_cause","185","ncd_lri"
1998,"label_cause","185","ncd_lri"
1990,"label_cause","186","ncd_lri"
1991,"label_cause","186","ncd_lri"
1992,"label_cause","186","ncd_lri"
1993,"label_cause","186","ncd_lri"
1994,"label_cause","186","ncd_lri"
1995,"label_cause","186","ncd_lri"
1996,"label_cause","186","ncd_lri"
1997,"label_cause","186","ncd_lri"
1998,"label_cause","186","ncd_lri"
1990,"label_cause","187","ncd_lri"
1991,"label_cause","187","ncd_lri"
1992,"label_cause","187","ncd_lri"
1993,"label_cause","187","ncd_lri"
1994,"label_cause","187","ncd_lri"
1995,"label_cause","187","ncd_lri"
1996,"label_cause","187","ncd_lri"
1997,"label_cause","187","ncd_lri"
1998,"label_cause","187","ncd_lri"
1990,"label_cause","188","ncd_lri"
1991,"label_cause","188","ncd_lri"
1992,"label_cause","188","ncd_lri"
1993,"label_cause","188","ncd_lri"
1994,"label_cause","188","ncd_lri"
1995,"label_cause","188","ncd_lri"
1996,"label_cause","188","ncd_lri"
1997,"label_cause","188","ncd_lri"
1998,"label_cause","188","ncd_lri"
1990,"label_cause","189","ncd_lri"
1991,"label_cause","189","ncd_lri"
1992,"label_cause","189","ncd_lri"
1993,"label_cause","189","ncd_lri"
1994,"label_cause","189","ncd_lri"
1995,"label_cause","189","ncd_lri"
1996,"label_cause","189","ncd_lri"
1997,"label_cause","189","ncd_lri"
1998,"label_cause","189","ncd_lri"
1990,"label_cause","190","ncd_lri"
1991,"label_cause","190","ncd_lri"
1992,"label_cause","190","ncd_lri"
1993,"label_cause","190","ncd_lri"
1994,"label_cause","190","ncd_lri"
1995,"label_cause","190","ncd_lri"
1996,"label_cause","190","ncd_lri"
1997,"label_cause","190","ncd_lri"
1998,"label_cause","190","ncd_lri"
1990,"label_cause","191","ncd_lri"
1991,"label_cause","191","ncd_lri"
1992,"label_cause","191","ncd_lri"
1993,"label_cause","191","ncd_lri"
1994,"label_cause","191","ncd_lri"
1995,"label_cause","191","ncd_lri"
