"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"3 years"	"3"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	916245
	"3 years"	"3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2186716
	"3 years"	"3"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	918359
	"3 years"	"3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2163938
	"3 years"	"3"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	890463
	"3 years"	"3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2098807
	"3 years"	"3"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	908291
	"3 years"	"3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2088208
	"3 years"	"3"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	926546
	"3 years"	"3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2087093
	"3 years"	"3"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	899008
	"3 years"	"3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2072835
	"3 years"	"3"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	895318
	"3 years"	"3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2068605
	"4 years"	"4"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	677401
	"4 years"	"4"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2365580
	"4 years"	"4"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	676778
	"4 years"	"4"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2300600
	"4 years"	"4"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	685404
	"4 years"	"4"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2273705
	"4 years"	"4"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	697446
	"4 years"	"4"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2266147
	"4 years"	"4"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	744066
	"4 years"	"4"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2258919
	"4 years"	"4"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	811014
	"4 years"	"4"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2298648
	"4 years"	"4"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	826441
	"4 years"	"4"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2238577
	"4 years"	"4"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	842654
	"4 years"	"4"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2239780
	"4 years"	"4"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	859301
	"4 years"	"4"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2243555
	"4 years"	"4"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	872311
	"4 years"	"4"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2197767
	"4 years"	"4"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	898486
	"4 years"	"4"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2192543
	"4 years"	"4"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	919729
	"4 years"	"4"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2188232
	"4 years"	"4"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	921400
	"4 years"	"4"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2165439
	"4 years"	"4"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	893813
	"4 years"	"4"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2100522
	"4 years"	"4"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	912135
	"4 years"	"4"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2090184
	"4 years"	"4"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	930491
	"4 years"	"4"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2089138
	"4 years"	"4"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	903068
	"4 years"	"4"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2074912
	"5 years"	"5"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	677803
	"5 years"	"5"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2407804
	"5 years"	"5"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	682232
	"5 years"	"5"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2362144
	"5 years"	"5"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	681438
	"5 years"	"5"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2298737
	"5 years"	"5"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	689294
	"5 years"	"5"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2273066
	"5 years"	"5"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	700954
	"5 years"	"5"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2266918
	"5 years"	"5"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	748088
	"5 years"	"5"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2261425
	"5 years"	"5"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	815643
	"5 years"	"5"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2302889
	"5 years"	"5"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	831064
	"5 years"	"5"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2244272
	"5 years"	"5"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	847608
	"5 years"	"5"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2247189
	"5 years"	"5"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	864331
	"5 years"	"5"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2252374
	"5 years"	"5"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	879423
	"5 years"	"5"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2208137
	"5 years"	"5"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	902173
	"5 years"	"5"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2193920
	"5 years"	"5"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	922974
	"5 years"	"5"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2189560
	"5 years"	"5"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	924728
	"5 years"	"5"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2167021
	"5 years"	"5"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	897743
	"5 years"	"5"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2102374
	"5 years"	"5"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	916138
	"5 years"	"5"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2092147
	"5 years"	"5"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	934570
	"5 years"	"5"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2091057
	"6 years"	"6"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	671154
	"6 years"	"6"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2430928
	"6 years"	"6"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	681435
	"6 years"	"6"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2402448
	"6 years"	"6"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	684891
	"6 years"	"6"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2355765
	"6 years"	"6"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	682683
	"6 years"	"6"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2291215
	"6 years"	"6"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	689326
	"6 years"	"6"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2264385
	"6 years"	"6"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	700765
	"6 years"	"6"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2257435
	"6 years"	"6"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	747324
	"6 years"	"6"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2251158
	"6 years"	"6"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	813145
	"6 years"	"6"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2291448
