"FIPS.code","rural_urban_class","fromYear"
13227,1,2000
13085,1,1990
13227,1,1990
13001,3,2000
13001,3,1990
13235,2,2000
13315,2,2000
13235,2,1990
13315,2,1990
13237,3,2000
13237,3,1990
13241,3,2000
13241,3,1990
13243,3,2000
13243,3,1990
13245,2,2000
13245,2,1990
13247,1,2000
13247,1,1990
13249,3,2000
13249,3,1990
13251,3,2000
13251,3,1990
13253,3,2000
13253,3,1990
13255,1,2000
13255,1,1990
13257,3,2000
13257,3,1990
13259,3,2000
13239,3,2000
13239,3,1990
13259,3,1990
13193,3,2000
13261,3,2000
13193,3,1990
13261,3,1990
13263,3,2000
13263,3,1990
13267,3,2000
13267,3,1990
13271,3,2000
13271,3,1990
13273,2,2000
13273,2,1990
13275,3,2000
13027,3,2000
13027,3,1990
13275,3,1990
13287,3,2000
13277,3,2000
13277,3,1990
13287,3,1990
13279,3,2000
13279,3,1990
13281,3,2000
13281,3,1990
13285,3,2000
13285,3,1990
13293,3,2000
13293,3,1990
13295,2,2000
13055,2,1990
13295,2,1990
13211,1,2000
13211,1,1990
13229,3,2000
13003,3,2000
13005,3,2000
13049,3,2000
13065,3,2000
13003,3,1990
13005,3,1990
13049,3,1990
13065,3,1990
13229,3,1990
13303,3,2000
13303,3,1990
13305,3,2000
13305,3,1990
13307,3,2000
13307,3,1990
13309,3,2000
13309,3,1990
13313,2,2000
13047,2,2000
13047,2,1990
13313,2,1990
13317,3,2000
13317,3,1990
15001,3,2000
15001,3,1990
15003,2,2000
15003,2,1990
15005,2,2000
15005,2,1990
15007,3,2000
15007,3,1990
15009,2,2000
15009,2,1990
16001,2,2000
16015,2,2000
16001,2,1990
16015,2,1990
16003,3,2000
16003,3,1990
16005,2,2000
16005,2,1990
16007,3,2000
16007,3,1990
16077,3,2000
16077,3,1990
16013,3,2000
16013,3,1990
16017,3,2000
16017,3,1990
16051,2,2000
16011,2,2000
16019,2,2000
16029,2,2000
16081,2,2000
16011,2,1990
16019,2,1990
16029,2,1990
16051,2,1990
16081,2,1990
16021,3,2000
16021,3,1990
16023,2,2000
16023,2,1990
16025,3,2000
16025,3,1990
16027,2,2000
16045,2,2000
16027,2,1990
16045,2,1990
16031,3,2000
16031,3,1990
16035,3,2000
16035,3,1990
16041,2,2000
16041,2,1990
16033,3,2000
16033,3,1990
16047,3,2000
16047,3,1990
16049,3,2000
16061,3,2000
16049,3,1990
16061,3,1990
16065,2,2000
16065,2,1990
16063,3,2000
16053,3,2000
16053,3,1990
16063,3,1990
16055,2,2000
16055,2,1990
16057,3,2000
16009,3,2000
16079,3,2000
16009,3,1990
16057,3,1990
16079,3,1990
16059,3,2000
16037,3,2000
16037,3,1990
16059,3,1990
16043,3,2000
16043,3,1990
16067,3,2000
16067,3,1990
16069,2,2000
16069,2,1990
16071,3,2000
16071,3,1990
16073,2,2000
16073,2,1990
16075,3,2000
16075,3,1990
16083,3,2000
16039,3,2000
16039,3,1990
16083,3,1990
16085,3,2000
16085,3,1990
16087,3,2000
16087,3,1990
17001,3,2000
17067,3,2000
17001,3,1990
17067,3,1990
17003,2,2000
17003,2,1990
17007,2,2000
17007,2,1990
17009,3,2000
17009,3,1990
17011,3,2000
17011,3,1990
17013,1,2000
17013,1,1990
17017,3,2000
17017,3,1990
17019,2,2000
17019,2,1990
17023,3,2000
17023,3,1990
17025,3,2000
17025,3,1990
17029,3,2000
17029,3,1990
17031,1,2000
17043,1,2000
17197,1,2000
17031,1,1990
17043,1,1990
17197,1,1990
17033,3,2000
17033,3,1990
17035,3,2000
17035,3,1990
17037,1,2000
17141,1,2000
17037,1,1990
17141,1,1990
17039,2,2000
17039,2,1990
17041,3,2000
17041,3,1990
17045,3,2000
17045,3,1990
17049,3,2000
17049,3,1990
17051,3,2000
17051,3,1990
17055,3,2000
17081,3,2000
17055,3,1990
17081,3,1990
17057,3,2000
17057,3,1990
17059,3,2000
17059,3,1990
17061,3,2000
17061,3,1990
17069,3,2000
17069,3,1990
17071,3,2000
17071,3,1990
17075,3,2000
17053,3,2000
17053,3,1990
17075,3,1990
17077,2,2000
17145,2,2000
17077,2,1990
17145,2,1990
17079,3,2000
17079,3,1990
17085,3,2000
17085,3,1990
17089,1,2000
17089,1,1990
17091,2,2000
17091,2,1990
17093,1,2000
17093,1,1990
17095,3,2000
17095,3,1990
17097,1,2000
17111,1,2000
17097,1,1990
17111,1,1990
17099,3,2000
17123,3,2000
17099,3,1990
17123,3,1990
17101,3,2000
17101,3,1990
17105,3,2000
17105,3,1990
17109,3,2000
17109,3,1990
17113,2,2000
17113,2,1990
17115,2,2000
17115,2,1990
17119,1,2000
17083,1,2000
17117,1,2000
17135,1,2000
17005,1,2000
17005,1,1990
17083,1,1990
17117,1,1990
17119,1,1990
17135,1,1990
17121,3,2000
17027,3,2000
17027,3,1990
17121,3,1990
17125,3,2000
17125,3,1990
17087,3,2000
17127,3,2000
17151,3,2000
17087,3,1990
17127,3,1990
17151,3,1990
17129,2,2000
17129,2,1990
17131,2,2000
17131,2,1990
17133,1,2000
17133,1,1990
17137,3,2000
17137,3,1990
17139,3,2000
17139,3,1990
17143,2,2000
17143,2,1990
17147,2,2000
17147,2,1990
17149,3,2000
17149,3,1990
17153,3,2000
17153,3,1990
17155,3,2000
17155,3,1990
17157,3,2000
17189,3,2000
17157,3,1990
17189,3,1990
17159,3,2000
17159,3,1990
17161,2,2000
17073,2,2000
17073,2,1990
17161,2,1990
17163,1,2000
17163,1,1990
17165,3,2000
17065,3,2000
17065,3,1990
17165,3,1990
17167,2,2000
17021,2,2000
17107,2,2000
17021,2,1990
17107,2,1990
17167,2,1990
17169,3,2000
17169,3,1990
17171,3,2000
17171,3,1990
17173,3,2000
17173,3,1990
17175,2,2000
17175,2,1990
17177,3,2000
17177,3,1990
17179,2,2000
17179,2,1990
17181,3,2000
17181,3,1990
17183,2,2000
17183,2,1990
17047,3,2000
17185,3,2000
17047,3,1990
17185,3,1990
17187,3,2000
17187,3,1990
17191,3,2000
17191,3,1990
17193,3,2000
17193,3,1990
17195,3,2000
17015,3,2000
17103,3,2000
17015,3,1990
17103,3,1990
17195,3,1990
17063,1,2000
17063,1,1990
17199,2,2000
17199,2,1990
17201,2,2000
17201,2,1990
17203,2,2000
17203,2,1990
18001,3,2000
18075,3,2000
18001,3,1990
18075,3,1990
18003,2,2000
18069,2,2000
18003,2,1990
18069,2,1990
18005,2,2000
18005,2,1990
18007,2,2000
18007,2,1990
18009,3,2000
18009,3,1990
18011,1,2000
18011,1,1990
18013,1,2000
18013,1,1990
18017,3,2000
18017,3,1990
18019,1,2000
18175,1,2000
18019,1,1990
18175,1,1990
18021,2,2000
18021,2,1990
18023,3,2000
18023,3,1990
18025,3,2000
18025,3,1990
18029,1,2000
18029,1,1990
18031,3,2000
18047,3,2000
18031,3,1990
18047,3,1990
18033,3,2000
18033,3,1990
18035,2,2000
18035,2,1990
18037,3,2000
18037,3,1990
18039,2,2000
18113,2,2000
18085,2,2000
18039,2,1990
18085,2,1990
18113,2,1990
18041,3,2000
18041,3,1990
18043,1,2000
18043,1,1990
18045,3,2000
18045,3,1990
18049,3,2000
18049,3,1990
18051,3,2000
18125,3,2000
18051,3,1990
18125,3,1990
18053,3,2000
18053,3,1990
18055,3,2000
18055,3,1990
18057,1,2000
18057,1,1990
18059,1,2000
18059,1,1990
18061,1,2000
18061,1,1990
18065,3,2000
18065,3,1990
18067,2,2000
18067,2,1990
18071,3,2000
18071,3,1990
18073,1,2000
18073,1,1990
18077,3,2000
18077,3,1990
18079,3,2000
18079,3,1990
18081,1,2000
18081,1,1990
18083,3,2000
18027,3,2000
18027,3,1990
18083,3,1990
18087,3,2000
18087,3,1990
18089,1,2000
18089,1,1990
18095,1,2000
18095,1,1990
18097,1,2000
18063,1,2000
18063,1,1990
18097,1,1990
18099,3,2000
18099,3,1990
18101,3,2000
18101,3,1990
18103,3,2000
18103,3,1990
18105,2,2000
18109,2,2000
18093,2,2000
18093,2,1990
18105,2,1990
18109,2,1990
18107,3,2000
18107,3,1990
18111,1,2000
18111,1,1990
18115,1,2000
18115,1,1990
18117,3,2000
18117,3,1990
18119,2,2000
18119,2,1990
18121,3,2000
18121,3,1990
18123,3,2000
18123,3,1990
18127,1,2000
18091,1,2000
18091,1,1990
18127,1,1990
18129,2,2000
18129,2,1990
18131,3,2000
18131,3,1990
18133,1,2000
18133,1,1990
18135,3,2000
18135,3,1990
18137,3,2000
18137,3,1990
18139,3,2000
18139,3,1990
18141,2,2000
18141,2,1990
18143,1,2000
18143,1,1990
18145,1,2000
18145,1,1990
18147,3,2000
18147,3,1990
18149,3,2000
18149,3,1990
18151,3,2000
18151,3,1990
18153,2,2000
18153,2,1990
18155,3,2000
18155,3,1990
18157,2,2000
18015,2,2000
18015,2,1990
18157,2,1990
18159,3,2000
18159,3,1990
18161,1,2000
18161,1,1990
18163,2,2000
18163,2,1990
18165,2,2000
18165,2,1990
18167,2,2000
18167,2,1990
18169,3,2000
18169,3,1990
18171,3,2000
18171,3,1990
18173,2,2000
18173,2,1990
18177,3,2000
18177,3,1990
18179,2,2000
18179,2,1990
18181,3,2000
18181,3,1990
18183,2,2000
18183,2,1990
19001,3,2000
19001,3,1990
19003,3,2000
19003,3,1990
19005,3,2000
19005,3,1990
19007,3,2000
19007,3,1990
19011,2,2000
19011,2,1990
19013,2,2000
19013,2,1990
19015,3,2000
19015,3,1990
19017,2,2000
19017,2,1990
19019,3,2000
19019,3,1990
19021,3,2000
19151,3,2000
19035,3,2000
19021,3,1990
19035,3,1990
19151,3,1990
19023,3,2000
19023,3,1990
19025,3,2000
19025,3,1990
19027,3,2000
19027,3,1990
19029,3,2000
19029,3,1990
19031,3,2000
19031,3,1990
19033,3,2000
19033,3,1990
19037,3,2000
19037,3,1990
19041,3,2000
19141,3,2000
19041,3,1990
19141,3,1990
19043,3,2000
19043,3,1990
19045,3,2000
19045,3,1990
19047,3,2000
19047,3,1990
19049,2,2000
19049,2,1990
19177,3,2000
19051,3,2000
19051,3,1990
19177,3,1990
19053,3,2000
19053,3,1990
19055,3,2000
19055,3,1990
19057,3,2000
19057,3,1990
19059,3,2000
19059,3,1990
19061,2,2000
19061,2,1990
19063,3,2000
19063,3,1990
19065,3,2000
19065,3,1990
19067,3,2000
19067,3,1990
19069,3,2000
19069,3,1990
19071,3,2000
19071,3,1990
19073,3,2000
19073,3,1990
19075,2,2000
19075,2,1990
19077,2,2000
19077,2,1990
19079,3,2000
19079,3,1990
19081,3,2000
19189,3,2000
19081,3,1990
19189,3,1990
19083,3,2000
19083,3,1990
19165,2,2000
19085,2,2000
19085,2,1990
19165,2,1990
19087,3,2000
19087,3,1990
19089,3,2000
19089,3,1990
19091,3,2000
19091,3,1990
19093,3,2000
19093,3,1990
19097,3,2000
19097,3,1990
19157,3,2000
19157,3,1990
19101,3,2000
19101,3,1990
19103,2,2000
19095,2,2000
19095,2,1990
19103,2,1990
19105,2,2000
19105,2,1990
19107,3,2000
19107,3,1990
19109,3,2000
19109,3,1990
19111,3,2000
19111,3,1990
19113,2,2000
19113,2,1990
19115,3,2000
19115,3,1990
19117,3,2000
19117,3,1990
19119,3,2000
19119,3,1990
19121,2,2000
19121,2,1990
19123,3,2000
19125,3,2000
19123,3,1990
19125,3,1990
19127,3,2000
19099,3,2000
19099,3,1990
19127,3,1990
19131,3,2000
19131,3,1990
19133,3,2000
19133,3,1990
19135,3,2000
19135,3,1990
19137,3,2000
19137,3,1990
19139,3,2000
19139,3,1990
19143,3,2000
19143,3,1990
19145,3,2000
19173,3,2000
19145,3,1990
19173,3,1990
